|                 start |                  stop |        tstart |         tstop |       dur | rel_tstart |                 manvr |      ra |     dec |    roll |
| 2020:183:08:47:41.700 | 2020:183:08:53:09.700 | 709980530.884 | 709980858.884 |   328.000 |     80.975 | 2020:183:08:00:16.812 | 293.346 | -18.656 | 112.346 |
| 2020:183:09:23:17.800 | 2020:183:17:45:52.277 | 709982666.984 | 710012821.461 | 30154.477 |    104.550 | 2020:183:08:53:20.462 |   1.600 |  20.189 | 114.994 |
| 2020:183:18:16:21.902 | 2020:183:18:21:03.777 | 710014651.086 | 710014932.961 |   281.875 |    127.100 | 2020:183:17:46:03.039 | 293.346 | -18.656 | 112.741 |
| 2020:183:19:08:42.502 | 2020:184:00:45:02.703 | 710017791.686 | 710037971.887 | 20180.201 |     78.925 | 2020:183:18:21:14.540 | 260.136 | -35.498 | 299.989 |
| 2020:184:01:37:11.004 | 2020:184:01:44:43.029 | 710041100.188 | 710041552.213 |   452.025 |    106.600 | 2020:184:00:45:13.466 | 297.946 |  -9.898 | 131.450 |
| 2020:184:02:12:59.404 | 2020:184:10:35:47.206 | 710043248.588 | 710073416.390 | 30167.802 |     91.225 | 2020:184:01:44:53.791 |   1.599 |  20.189 | 114.994 |
| 2020:184:11:04:45.606 | 2020:184:11:09:22.356 | 710075154.790 | 710075431.540 |   276.750 |    132.225 | 2020:184:10:35:57.968 | 297.946 |  -9.898 | 132.051 |
| 2020:184:11:59:54.306 | 2020:184:19:14:56.957 | 710078463.490 | 710104566.141 | 26102.652 |    102.500 | 2020:184:11:09:33.118 | 266.401 | -28.997 | 289.992 |
| 2020:184:19:39:51.408 | 2020:184:20:32:50.958 | 710106060.592 | 710109240.142 |  3179.550 |     78.925 | 2020:184:19:15:07.720 | 280.000 | -36.000 | 351.627 |
| 2020:184:20:53:02.508 | 2020:184:22:35:56.083 | 710110451.692 | 710116625.267 |  6173.575 |     85.075 | 2020:184:20:33:01.720 | 287.234 | -31.399 |  29.553 |
| 2020:184:23:15:51.508 | 2020:185:02:38:05.459 | 710119020.692 | 710131154.643 | 12133.951 |    124.025 | 2020:184:22:36:06.846 |  76.522 | -20.955 | 148.876 |
| 2020:185:03:15:01.509 | 2020:185:04:09:08.709 | 710133370.693 | 710136617.893 |  3247.200 |    128.125 | 2020:185:02:38:16.222 | 296.706 | -42.937 |  35.278 |
| 2020:185:04:17:33.009 | 2020:185:06:06:48.910 | 710137122.193 | 710143678.094 |  6555.900 |   3879.625 | 2020:185:02:38:16.222 | 296.706 | -42.937 |  35.278 |
| 2020:185:06:39:20.510 | 2020:185:07:57:17.585 | 710145629.694 | 710150306.769 |  4677.075 |     91.225 | 2020:185:06:06:59.672 | 296.000 | -16.000 | 120.724 |
| 2020:185:08:27:02.110 | 2020:185:16:49:14.037 | 710152091.294 | 710182223.221 | 30131.927 |    127.100 | 2020:185:07:57:28.348 |   1.601 |  20.188 | 114.993 |
| 2020:185:17:18:11.412 | 2020:185:17:22:53.287 | 710183960.596 | 710184242.471 |   281.875 |    127.100 | 2020:185:16:49:24.800 | 297.894 |  -9.949 | 133.988 |
| 2020:185:18:12:55.513 | 2020:186:00:49:01.164 | 710187244.697 | 710211010.348 | 23765.651 |     97.375 | 2020:185:17:23:04.050 | 266.399 | -28.996 | 289.992 |
